country,year,continent,lifeExp
Austria,2002,Europe,78.98
Austria,2007,Europe,79.829
Bahrain,1952,Asia,50.939
Bahrain,1957,Asia,53.832
Bahrain,1962,Asia,56.923
Bahrain,1967,Asia,59.923
Bahrain,1972,Asia,63.3
Bahrain,1977,Asia,65.593
Bahrain,1982,Asia,69.052
Bahrain,1987,Asia,70.75
Bahrain,1992,Asia,72.601
Bahrain,1997,Asia,73.925
Bahrain,2002,Asia,74.795
Bahrain,2007,Asia,75.635
Bangladesh,1952,Asia,37.484
Bangladesh,1957,Asia,39.348
Bangladesh,1962,Asia,41.216
Bangladesh,1967,Asia,43.453
Bangladesh,1972,Asia,45.252
Bangladesh,1977,Asia,46.923
Bangladesh,1982,Asia,50.009
Bangladesh,1987,Asia,52.819
Bangladesh,1992,Asia,56.018
Bangladesh,1997,Asia,59.412
Bangladesh,2002,Asia,62.013
Bangladesh,2007,Asia,64.062
Belgium,1952,Europe,68
Belgium,1957,Europe,69.24
Belgium,1962,Europe,70.25
Belgium,1967,Europe,70.94
Belgium,1972,Europe,71.44
Belgium,1977,Europe,72.8
Belgium,1982,Europe,73.93
Belgium,1987,Europe,75.35
Belgium,1992,Europe,76.46
Belgium,1997,Europe,77.53
Belgium,2002,Europe,78.32
Belgium,2007,Europe,79.441
Benin,1952,Africa,38.223
Benin,1957,Africa,40.358
Benin,1962,Africa,42.618
Benin,1967,Africa,44.885
Benin,1972,Africa,47.014
Benin,1977,Africa,49.19
Benin,1982,Africa,50.904
Benin,1987,Africa,52.337
Benin,1992,Africa,53.919
Benin,1997,Africa,54.777
Benin,2002,Africa,54.406
Benin,2007,Africa,56.728
Bolivia,1952,Americas,40.414
Bolivia,1957,Americas,41.89
Bolivia,1962,Americas,43.428
Bolivia,1967,Americas,45.032
Bolivia,1972,Americas,46.714
Bolivia,1977,Americas,50.023
Bolivia,1982,Americas,53.859
Bolivia,1987,Americas,57.251
Bolivia,1992,Americas,59.957
Bolivia,1997,Americas,62.05
Bolivia,2002,Americas,63.883
Bolivia,2007,Americas,65.554
Bosnia and Herzegovina,1952,Europe,53.82
Bosnia and Herzegovina,1957,Europe,58.45
Bosnia and Herzegovina,1962,Europe,61.93
Bosnia and Herzegovina,1967,Europe,64.79
Bosnia and Herzegovina,1972,Europe,67.45
Bosnia and Herzegovina,1977,Europe,69.86
Bosnia and Herzegovina,1982,Europe,70.69
Bosnia and Herzegovina,1987,Europe,71.14
Bosnia and Herzegovina,1992,Europe,72.178
Bosnia and Herzegovina,1997,Europe,73.244
Bosnia and Herzegovina,2002,Europe,74.09
Bosnia and Herzegovina,2007,Europe,74.852
Botswana,1952,Africa,47.622
Botswana,1957,Africa,49.618
Botswana,1962,Africa,51.52
Botswana,1967,Africa,53.298
Botswana,1972,Africa,56.024
Botswana,1977,Africa,59.319
Botswana,1982,Africa,61.484
Botswana,1987,Africa,63.622
Botswana,1992,Africa,62.745
Botswana,1997,Africa,52.556
Botswana,2002,Africa,46.634
Botswana,2007,Africa,50.728
Brazil,1952,Americas,50.917
Brazil,1957,Americas,53.285
Brazil,1962,Americas,55.665
Brazil,1967,Americas,57.632
Brazil,1972,Americas,59.504
Brazil,1977,Americas,61.489
Brazil,1982,Americas,63.336
Brazil,1987,Americas,65.205
Brazil,1992,Americas,67.057
Brazil,1997,Americas,69.388
Brazil,2002,Americas,71.006
Brazil,2007,Americas,72.39
Bulgaria,1952,Europe,59.6
Bulgaria,1957,Europe,66.61
Bulgaria,1962,Europe,69.51
Bulgaria,1967,Europe,70.42
Bulgaria,1972,Europe,70.9
Bulgaria,1977,Europe,70.81
Bulgaria,1982,Europe,71.08
Bulgaria,1987,Europe,71.34
Bulgaria,1992,Europe,71.19
Bulgaria,1997,Europe,70.32
Bulgaria,2002,Europe,72.14
Bulgaria,2007,Europe,73.005
Burkina Faso,1952,Africa,31.975
Burkina Faso,1957,Africa,34.906
Burkina Faso,1962,Africa,37.814
Burkina Faso,1967,Africa,40.697
Burkina Faso,1972,Africa,43.591
Burkina Faso,1977,Africa,46.137
Burkina Faso,1982,Africa,48.122
Burkina Faso,1987,Africa,49.557
Burkina Faso,1992,Africa,50.26
Burkina Faso,1997,Africa,50.324
Burkina Faso,2002,Africa,50.65
Burkina Faso,2007,Africa,52.295
Burundi,1952,Africa,39.031
Burundi,1957,Africa,40.533
Burundi,1962,Africa,42.045
Burundi,1967,Africa,43.548
Burundi,1972,Africa,44.057
Burundi,1977,Africa,45.91
Burundi,1982,Africa,47.471
Burundi,1987,Africa,48.211
Burundi,1992,Africa,44.736
Burundi,1997,Africa,45.326
Burundi,2002,Africa,47.36
Burundi,2007,Africa,49.58
Cambodia,1952,Asia,39.417
Cambodia,1957,Asia,41.366
Cambodia,1962,Asia,43.415
Cambodia,1967,Asia,45.415
Cambodia,1972,Asia,40.317
Cambodia,1977,Asia,31.22
Cambodia,1982,Asia,50.957
Cambodia,1987,Asia,53.914
Cambodia,1992,Asia,55.803
Cambodia,1997,Asia,56.534
Cambodia,2002,Asia,56.752
Cambodia,2007,Asia,59.723
Cameroon,1952,Africa,38.523
Cameroon,1957,Africa,40.428
Cameroon,1962,Africa,42.643
Cameroon,1967,Africa,44.799
Cameroon,1972,Africa,47.049
Cameroon,1977,Africa,49.355
Cameroon,1982,Africa,52.961
Cameroon,1987,Africa,54.985
Cameroon,1992,Africa,54.314
Cameroon,1997,Africa,52.199
Cameroon,2002,Africa,49.856
Cameroon,2007,Africa,50.43
Canada,1952,Americas,68.75
Canada,1957,Americas,69.96
Canada,1962,Americas,71.3
Canada,1967,Americas,72.13
Canada,1972,Americas,72.88
Canada,1977,Americas,74.21
Canada,1982,Americas,75.76
Canada,1987,Americas,76.86
Canada,1992,Americas,77.95
Canada,1997,Americas,78.61
Canada,2002,Americas,79.77
Canada,2007,Americas,80.653
Central African Republic,1952,Africa,35.463
Central African Republic,1957,Africa,37.464
Central African Republic,1962,Africa,39.475
Central African Republic,1967,Africa,41.478
Central African Republic,1972,Africa,43.457
Central African Republic,1977,Africa,46.775
Central African Republic,1982,Africa,48.295
Central African Republic,1987,Africa,50.485
Central African Republic,1992,Africa,49.396
Central African Republic,1997,Africa,46.066
Central African Republic,2002,Africa,43.308
Central African Republic,2007,Africa,44.741
Chad,1952,Africa,38.092
Chad,1957,Africa,39.881
Chad,1962,Africa,41.716
Chad,1967,Africa,43.601
Chad,1972,Africa,45.569
Chad,1977,Africa,47.383
Chad,1982,Africa,49.517
Chad,1987,Africa,51.051
Chad,1992,Africa,51.724
Chad,1997,Africa,51.573
Chad,2002,Africa,50.525
Chad,2007,Africa,50.651
Chile,1952,Americas,54.745
Chile,1957,Americas,56.074
Chile,1962,Americas,57.924
Chile,1967,Americas,60.523
Chile,1972,Americas,63.441
Chile,1977,Americas,67.052
Chile,1982,Americas,70.565
Chile,1987,Americas,72.492
Chile,1992,Americas,74.126
Chile,1997,Americas,75.816
Chile,2002,Americas,77.86
Chile,2007,Americas,78.553
China,1952,Asia,44
China,1957,Asia,50.54896
China,1962,Asia,44.50136
China,1967,Asia,58.38112
China,1972,Asia,63.11888
China,1977,Asia,63.96736
China,1982,Asia,65.525
China,1987,Asia,67.274
China,1992,Asia,68.69
China,1997,Asia,70.426
China,2002,Asia,72.028
China,2007,Asia,72.961
Colombia,1952,Americas,50.643
Colombia,1957,Americas,55.118
Colombia,1962,Americas,57.863
Colombia,1967,Americas,59.963
Colombia,1972,Americas,61.623
Colombia,1977,Americas,63.837
Colombia,1982,Americas,66.653
Colombia,1987,Americas,67.768
Colombia,1992,Americas,68.421
Colombia,1997,Americas,70.313
Colombia,2002,Americas,71.682
Colombia,2007,Americas,72.889
Comoros,1952,Africa,40.715
Comoros,1957,Africa,42.46
Comoros,1962,Africa,44.467
Comoros,1967,Africa,46.472
Comoros,1972,Africa,48.944
Comoros,1977,Africa,50.939
Comoros,1982,Africa,52.933
Comoros,1987,Africa,54.926
Comoros,1992,Africa,57.939
Comoros,1997,Africa,60.66
Comoros,2002,Africa,62.974
Comoros,2007,Africa,65.152
Congo Dem. Rep.,1952,Africa,39.143
Congo Dem. Rep.,1957,Africa,40.652
Congo Dem. Rep.,1962,Africa,42.122
Congo Dem. Rep.,1967,Africa,44.056
Congo Dem. Rep.,1972,Africa,45.989
Congo Dem. Rep.,1977,Africa,47.804
Congo Dem. Rep.,1982,Africa,47.784
Congo Dem. Rep.,1987,Africa,47.412
Congo Dem. Rep.,1992,Africa,45.548
Congo Dem. Rep.,1997,Africa,42.587
Congo Dem. Rep.,2002,Africa,44.966
Congo Dem. Rep.,2007,Africa,46.462
Congo Rep.,1952,Africa,42.111
Congo Rep.,1957,Africa,45.053
Congo Rep.,1962,Africa,48.435
Congo Rep.,1967,Africa,52.04
Congo Rep.,1972,Africa,54.907
Congo Rep.,1977,Africa,55.625
Congo Rep.,1982,Africa,56.695
Congo Rep.,1987,Africa,57.47
Congo Rep.,1992,Africa,56.433
Congo Rep.,1997,Africa,52.962
Congo Rep.,2002,Africa,52.97
Congo Rep.,2007,Africa,55.322
Costa Rica,1952,Americas,57.206
Costa Rica,1957,Americas,60.026
Costa Rica,1962,Americas,62.842
Costa Rica,1967,Americas,65.424
Costa Rica,1972,Americas,67.849
Costa Rica,1977,Americas,70.75
Costa Rica,1982,Americas,73.45
Costa Rica,1987,Americas,74.752
Costa Rica,1992,Americas,75.713
Costa Rica,1997,Americas,77.26
Costa Rica,2002,Americas,78.123
Costa Rica,2007,Americas,78.782
Cote d'Ivoire,1952,Africa,40.477
Cote d'Ivoire,1957,Africa,42.469
Cote d'Ivoire,1962,Africa,44.93
Cote d'Ivoire,1967,Africa,47.35
Cote d'Ivoire,1972,Africa,49.801
Cote d'Ivoire,1977,Africa,52.374
Cote d'Ivoire,1982,Africa,53.983
Cote d'Ivoire,1987,Africa,54.655
Cote d'Ivoire,1992,Africa,52.044
Cote d'Ivoire,1997,Africa,47.991
Cote d'Ivoire,2002,Africa,46.832
Cote d'Ivoire,2007,Africa,48.328
Croatia,1952,Europe,61.21
Croatia,1957,Europe,64.77
Croatia,1962,Europe,67.13
Croatia,1967,Europe,68.5
Croatia,1972,Europe,69.61
Croatia,1977,Europe,70.64
Croatia,1982,Europe,70.46
Croatia,1987,Europe,71.52
Croatia,1992,Europe,72.527
Croatia,1997,Europe,73.68
Croatia,2002,Europe,74.876
Croatia,2007,Europe,75.748
Cuba,1952,Americas,59.421
Cuba,1957,Americas,62.325
Cuba,1962,Americas,65.246
Cuba,1967,Americas,68.29
Cuba,1972,Americas,70.723
Cuba,1977,Americas,72.649
Cuba,1982,Americas,73.717
Cuba,1987,Americas,74.174
Cuba,1992,Americas,74.414
Cuba,1997,Americas,76.151
Cuba,2002,Americas,77.158
Cuba,2007,Americas,78.273
Czech Republic,1952,Europe,66.87
Czech Republic,1957,Europe,69.03
Czech Republic,1962,Europe,69.9
Czech Republic,1967,Europe,70.38
Czech Republic,1972,Europe,70.29
Czech Republic,1977,Europe,70.71
Czech Republic,1982,Europe,70.96
Czech Republic,1987,Europe,71.58
Czech Republic,1992,Europe,72.4
Czech Republic,1997,Europe,74.01
Czech Republic,2002,Europe,75.51
Czech Republic,2007,Europe,76.486
Denmark,1952,Europe,70.78
Denmark,1957,Europe,71.81
Denmark,1962,Europe,72.35
Denmark,1967,Europe,72.96
Denmark,1972,Europe,73.47
Denmark,1977,Europe,74.69
Denmark,1982,Europe,74.63
Denmark,1987,Europe,74.8
Denmark,1992,Europe,75.33
Denmark,1997,Europe,76.11
Denmark,2002,Europe,77.18
Denmark,2007,Europe,78.332
Djibouti,1952,Africa,34.812
Djibouti,1957,Africa,37.328
Djibouti,1962,Africa,39.693
Djibouti,1967,Africa,42.074
Djibouti,1972,Africa,44.366
Djibouti,1977,Africa,46.519
Djibouti,1982,Africa,48.812
Djibouti,1987,Africa,50.04
Djibouti,1992,Africa,51.604
Djibouti,1997,Africa,53.157
Djibouti,2002,Africa,53.373
Djibouti,2007,Africa,54.791
Dominican Republic,1952,Americas,45.928
Dominican Republic,1957,Americas,49.828
Dominican Republic,1962,Americas,53.459
Dominican Republic,1967,Americas,56.751
Dominican Republic,1972,Americas,59.631
Dominican Republic,1977,Americas,61.788
Dominican Republic,1982,Americas,63.727
Dominican Republic,1987,Americas,66.046
Dominican Republic,1992,Americas,68.457
Dominican Republic,1997,Americas,69.957
Dominican Republic,2002,Americas,70.847
Dominican Republic,2007,Americas,72.235
Ecuador,1952,Americas,48.357
Ecuador,1957,Americas,51.356
Ecuador,1962,Americas,54.64
Ecuador,1967,Americas,56.678
Ecuador,1972,Americas,58.796
Ecuador,1977,Americas,61.31
Ecuador,1982,Americas,64.342
Ecuador,1987,Americas,67.231
Ecuador,1992,Americas,69.613
Ecuador,1997,Americas,72.312
Ecuador,2002,Americas,74.173
Ecuador,2007,Americas,74.994
Egypt,1952,Africa,41.893
Egypt,1957,Africa,44.444
Egypt,1962,Africa,46.992
Egypt,1967,Africa,49.293
Egypt,1972,Africa,51.137
Egypt,1977,Africa,53.319
Egypt,1982,Africa,56.006
Egypt,1987,Africa,59.797
Egypt,1992,Africa,63.674
Egypt,1997,Africa,67.217
Egypt,2002,Africa,69.806
Egypt,2007,Africa,71.338
El Salvador,1952,Americas,45.262
El Salvador,1957,Americas,48.57
El Salvador,1962,Americas,52.307
El Salvador,1967,Americas,55.855
El Salvador,1972,Americas,58.207
El Salvador,1977,Americas,56.696
El Salvador,1982,Americas,56.604
El Salvador,1987,Americas,63.154
El Salvador,1992,Americas,66.798
El Salvador,1997,Americas,69.535
El Salvador,2002,Americas,70.734
El Salvador,2007,Americas,71.878
Equatorial Guinea,1952,Africa,34.482
Equatorial Guinea,1957,Africa,35.983
Equatorial Guinea,1962,Africa,37.485
Equatorial Guinea,1967,Africa,38.987
Equatorial Guinea,1972,Africa,40.516
Equatorial Guinea,1977,Africa,42.024
Equatorial Guinea,1982,Africa,43.662
Equatorial Guinea,1987,Africa,45.664
Equatorial Guinea,1992,Africa,47.545
Equatorial Guinea,1997,Africa,48.245
Equatorial Guinea,2002,Africa,49.348
Equatorial Guinea,2007,Africa,51.579
Eritrea,1952,Africa,35.928
Eritrea,1957,Africa,38.047
Eritrea,1962,Africa,40.158
Eritrea,1967,Africa,42.189
Eritrea,1972,Africa,44.142
Eritrea,1977,Africa,44.535
Eritrea,1982,Africa,43.89
Eritrea,1987,Africa,46.453
Eritrea,1992,Africa,49.991
Eritrea,1997,Africa,53.378
Eritrea,2002,Africa,55.24
Eritrea,2007,Africa,58.04
Ethiopia,1952,Africa,34.078
Ethiopia,1957,Africa,36.667
Ethiopia,1962,Africa,40.059
Ethiopia,1967,Africa,42.115
Ethiopia,1972,Africa,43.515
Ethiopia,1977,Africa,44.51
Ethiopia,1982,Africa,44.916
Ethiopia,1987,Africa,46.684
Ethiopia,1992,Africa,48.091
Ethiopia,1997,Africa,49.402
Ethiopia,2002,Africa,50.725
Ethiopia,2007,Africa,52.947
Finland,1952,Europe,66.55
Finland,1957,Europe,67.49
Finland,1962,Europe,68.75
Finland,1967,Europe,69.83
Finland,1972,Europe,70.87
Finland,1977,Europe,72.52
Finland,1982,Europe,74.55
Finland,1987,Europe,74.83
Finland,1992,Europe,75.7
Finland,1997,Europe,77.13
Finland,2002,Europe,78.37
Finland,2007,Europe,79.313
France,1952,Europe,67.41
France,1957,Europe,68.93
France,1962,Europe,70.51
France,1967,Europe,71.55
France,1972,Europe,72.38
France,1977,Europe,73.83
France,1982,Europe,74.89
France,1987,Europe,76.34
France,1992,Europe,77.46
France,1997,Europe,78.64
France,2002,Europe,79.59
France,2007,Europe,80.657
Gabon,1952,Africa,37.003
Gabon,1957,Africa,38.999
Gabon,1962,Africa,40.489
Gabon,1967,Africa,44.598
Gabon,1972,Africa,48.69
Gabon,1977,Africa,52.79
Gabon,1982,Africa,56.564
Gabon,1987,Africa,60.19
Gabon,1992,Africa,61.366
Gabon,1997,Africa,60.461
Gabon,2002,Africa,56.761
Gabon,2007,Africa,56.735
Gambia,1952,Africa,30
Gambia,1957,Africa,32.065
Gambia,1962,Africa,33.896
Gambia,1967,Africa,35.857
Gambia,1972,Africa,38.308
Gambia,1977,Africa,41.842
Gambia,1982,Africa,45.58
Gambia,1987,Africa,49.265
Gambia,1992,Africa,52.644
Gambia,1997,Africa,55.861
Gambia,2002,Africa,58.041
Gambia,2007,Africa,59.448
Germany,1952,Europe,67.5
Germany,1957,Europe,69.1
Germany,1962,Europe,70.3
Germany,1967,Europe,70.8
Germany,1972,Europe,71
Germany,1977,Europe,72.5
Germany,1982,Europe,73.8
Germany,1987,Europe,74.847
Germany,1992,Europe,76.07
Germany,1997,Europe,77.34
Germany,2002,Europe,78.67
Germany,2007,Europe,79.406
Ghana,1952,Africa,43.149
Ghana,1957,Africa,44.779
Ghana,1962,Africa,46.452
Ghana,1967,Africa,48.072
Ghana,1972,Africa,49.875
Ghana,1977,Africa,51.756
Ghana,1982,Africa,53.744
Ghana,1987,Africa,55.729
Ghana,1992,Africa,57.501
Ghana,1997,Africa,58.556
Ghana,2002,Africa,58.453
Ghana,2007,Africa,60.022
Greece,1952,Europe,65.86
Greece,1957,Europe,67.86
Greece,1962,Europe,69.51
Greece,1967,Europe,71
Greece,1972,Europe,72.34
Greece,1977,Europe,73.68
Greece,1982,Europe,75.24
Greece,1987,Europe,76.67
Greece,1992,Europe,77.03
Greece,1997,Europe,77.869
Greece,2002,Europe,78.256
Greece,2007,Europe,79.483
Guatemala,1952,Americas,42.023
Guatemala,1957,Americas,44.142
Guatemala,1962,Americas,46.954
Guatemala,1967,Americas,50.016
Guatemala,1972,Americas,53.738
Guatemala,1977,Americas,56.029
Guatemala,1982,Americas,58.137
Guatemala,1987,Americas,60.782
Guatemala,1992,Americas,63.373
Guatemala,1997,Americas,66.322
Guatemala,2002,Americas,68.978
Guatemala,2007,Americas,70.259
Guinea,1952,Africa,33.609
Guinea,1957,Africa,34.558
Guinea,1962,Africa,35.753
Guinea,1967,Africa,37.197
Guinea,1972,Africa,38.842
Guinea,1977,Africa,40.762
Guinea,1982,Africa,42.891
Guinea,1987,Africa,45.552
Guinea,1992,Africa,48.576
Guinea,1997,Africa,51.455
Guinea,2002,Africa,53.676
Guinea,2007,Africa,56.007
Guinea-Bissau,1952,Africa,32.5
Guinea-Bissau,1957,Africa,33.489
Guinea-Bissau,1962,Africa,34.488
Guinea-Bissau,1967,Africa,35.492
Guinea-Bissau,1972,Africa,36.486
Guinea-Bissau,1977,Africa,37.465
Guinea-Bissau,1982,Africa,39.327
Guinea-Bissau,1987,Africa,41.245
Guinea-Bissau,1992,Africa,43.266
Guinea-Bissau,1997,Africa,44.873
Guinea-Bissau,2002,Africa,45.504
Guinea-Bissau,2007,Africa,46.388
Haiti,1952,Americas,37.579
Haiti,1957,Americas,40.696
Haiti,1962,Americas,43.59
Haiti,1967,Americas,46.243
Haiti,1972,Americas,48.042
Haiti,1977,Americas,49.923
Haiti,1982,Americas,51.461
Haiti,1987,Americas,53.636
Haiti,1992,Americas,55.089
Haiti,1997,Americas,56.671
Haiti,2002,Americas,58.137
Haiti,2007,Americas,60.916
Honduras,1952,Americas,41.912
Honduras,1957,Americas,44.665
Honduras,1962,Americas,48.041
Honduras,1967,Americas,50.924
Honduras,1972,Americas,53.884
Honduras,1977,Americas,57.402
Honduras,1982,Americas,60.909
Honduras,1987,Americas,64.492
Honduras,1992,Americas,66.399
Honduras,1997,Americas,67.659
Honduras,2002,Americas,68.565
Honduras,2007,Americas,70.198
Hong Kong China,1952,Asia,60.96
Hong Kong China,1957,Asia,64.75
Hong Kong China,1962,Asia,67.65
Hong Kong China,1967,Asia,70
Hong Kong China,1972,Asia,72
Hong Kong China,1977,Asia,73.6
Hong Kong China,1982,Asia,75.45
Hong Kong China,1987,Asia,76.2
Hong Kong China,1992,Asia,77.601
Hong Kong China,1997,Asia,80
Hong Kong China,2002,Asia,81.495
Hong Kong China,2007,Asia,82.208
Hungary,1952,Europe,64.03
Hungary,1957,Europe,66.41
Hungary,1962,Europe,67.96
Hungary,1967,Europe,69.5
Hungary,1972,Europe,69.76
Hungary,1977,Europe,69.95
Hungary,1982,Europe,69.39
Hungary,1987,Europe,69.58
Hungary,1992,Europe,69.17
Hungary,1997,Europe,71.04
Hungary,2002,Europe,72.59
Hungary,2007,Europe,73.338
Iceland,1952,Europe,72.49
Iceland,1957,Europe,73.47
Iceland,1962,Europe,73.68
Iceland,1967,Europe,73.73
Iceland,1972,Europe,74.46
Iceland,1977,Europe,76.11
Iceland,1982,Europe,76.99
Iceland,1987,Europe,77.23
Iceland,1992,Europe,78.77
Iceland,1997,Europe,78.95
Iceland,2002,Europe,80.5
Iceland,2007,Europe,81.757
India,1952,Asia,37.373
India,1957,Asia,40.249
India,1962,Asia,43.605
India,1967,Asia,47.193
India,1972,Asia,50.651
India,1977,Asia,54.208
India,1982,Asia,56.596
India,1987,Asia,58.553
India,1992,Asia,60.223
India,1997,Asia,61.765
India,2002,Asia,62.879
India,2007,Asia,64.698
Indonesia,1952,Asia,37.468
Indonesia,1957,Asia,39.918
Indonesia,1962,Asia,42.518
Indonesia,1967,Asia,45.964
Indonesia,1972,Asia,49.203
Indonesia,1977,Asia,52.702
Indonesia,1982,Asia,56.159
Indonesia,1987,Asia,60.137
Indonesia,1992,Asia,62.681
Indonesia,1997,Asia,66.041
Indonesia,2002,Asia,68.588
Indonesia,2007,Asia,70.65
Iran,1952,Asia,44.869
Iran,1957,Asia,47.181
Iran,1962,Asia,49.325
Iran,1967,Asia,52.469
Iran,1972,Asia,55.234
Iran,1977,Asia,57.702
Iran,1982,Asia,59.62
Iran,1987,Asia,63.04
Iran,1992,Asia,65.742
Iran,1997,Asia,68.042
Iran,2002,Asia,69.451
Iran,2007,Asia,70.964
Iraq,1952,Asia,45.32
Iraq,1957,Asia,48.437
Iraq,1962,Asia,51.457
Iraq,1967,Asia,54.459
Iraq,1972,Asia,56.95
Iraq,1977,Asia,60.413
Iraq,1982,Asia,62.038
Iraq,1987,Asia,65.044
Iraq,1992,Asia,59.461
Iraq,1997,Asia,58.811
Iraq,2002,Asia,57.046
Iraq,2007,Asia,59.545
Ireland,1952,Europe,66.91
Ireland,1957,Europe,68.9
Ireland,1962,Europe,70.29
Ireland,1967,Europe,71.08
Ireland,1972,Europe,71.28
Ireland,1977,Europe,72.03
Ireland,1982,Europe,73.1
Ireland,1987,Europe,74.36
Ireland,1992,Europe,75.467
Ireland,1997,Europe,76.122
Ireland,2002,Europe,77.783
Ireland,2007,Europe,78.885
Israel,1952,Asia,65.39
Israel,1957,Asia,67.84
Israel,1962,Asia,69.39
Israel,1967,Asia,70.75
Israel,1972,Asia,71.63
Israel,1977,Asia,73.06
Israel,1982,Asia,74.45
Israel,1987,Asia,75.6
Israel,1992,Asia,76.93
Israel,1997,Asia,78.269
Israel,2002,Asia,79.696
Israel,2007,Asia,80.745
Italy,1952,Europe,65.94
Italy,1957,Europe,67.81
Italy,1962,Europe,69.24
Italy,1967,Europe,71.06
Italy,1972,Europe,72.19
Italy,1977,Europe,73.48
Italy,1982,Europe,74.98
Italy,1987,Europe,76.42
Italy,1992,Europe,77.44
Italy,1997,Europe,78.82
Italy,2002,Europe,80.24
Italy,2007,Europe,80.546
Jamaica,1952,Americas,58.53
Jamaica,1957,Americas,62.61
Jamaica,1962,Americas,65.61
Jamaica,1967,Americas,67.51
Jamaica,1972,Americas,69
Jamaica,1977,Americas,70.11
Jamaica,1982,Americas,71.21
Jamaica,1987,Americas,71.77
Jamaica,1992,Americas,71.766
Jamaica,1997,Americas,72.262
Jamaica,2002,Americas,72.047
Jamaica,2007,Americas,72.567
Japan,1952,Asia,63.03
Japan,1957,Asia,65.5
Japan,1962,Asia,68.73
Japan,1967,Asia,71.43
Japan,1972,Asia,73.42
Japan,1977,Asia,75.38
Japan,1982,Asia,77.11
Japan,1987,Asia,78.67
Japan,1992,Asia,79.36
Japan,1997,Asia,80.69
Japan,2002,Asia,82
Japan,2007,Asia,82.603
Jordan,1952,Asia,43.158
Jordan,1957,Asia,45.669
Jordan,1962,Asia,48.126
Jordan,1967,Asia,51.629
Jordan,1972,Asia,56.528
Jordan,1977,Asia,61.134
Jordan,1982,Asia,63.739
Jordan,1987,Asia,65.869
Jordan,1992,Asia,68.015
Jordan,1997,Asia,69.772
Jordan,2002,Asia,71.263
Jordan,2007,Asia,72.535
Kenya,1952,Africa,42.27
Kenya,1957,Africa,44.686
Kenya,1962,Africa,47.949
Kenya,1967,Africa,50.654
Kenya,1972,Africa,53.559
Kenya,1977,Africa,56.155
Kenya,1982,Africa,58.766
Kenya,1987,Africa,59.339
Kenya,1992,Africa,59.285
Kenya,1997,Africa,54.407
Kenya,2002,Africa,50.992
Kenya,2007,Africa,54.11
Korea Dem. Rep.,1952,Asia,50.056
Korea Dem. Rep.,1957,Asia,54.081
Korea Dem. Rep.,1962,Asia,56.656
Korea Dem. Rep.,1967,Asia,59.942
Korea Dem. Rep.,1972,Asia,63.983
Korea Dem. Rep.,1977,Asia,67.159
Korea Dem. Rep.,1982,Asia,69.1
Korea Dem. Rep.,1987,Asia,70.647
